# ============================================================================
# Opacities computed by OpTool        <a^n>=  1.9942E+0  1.9950E+0  1.9958E+0
# Parameters:
#  amin    =      1.9 micron
#  amax    =      2.1 micron
#  apow    =         3.5
#  na      =         20
#  density =         3.71
# ============================================================================
#  lambda[micron]   Qabs
# ============================================================================
9.717000000000000082e-01 8.920806300000001521e-01
9.758489000000000191e-01 8.924635020000000196e-01
9.800155999999999867e-01 8.928382120000001310e-01
9.842001000000000221e-01 8.932062440000000381e-01
9.884024999999999617e-01 8.935705659999999551e-01
9.926228000000000273e-01 8.939348879999999831e-01
9.968611000000000555e-01 8.942992100000001221e-01
1.001117999999999952e+00 8.946063980000000804e-01
1.005392000000000063e+00 8.947444100000000455e-01
1.009684999999999944e+00 8.948794540000000186e-01
1.013995999999999897e+00 8.950055940000001264e-01
1.018326000000000064e+00 8.951206040000001529e-01
1.022674000000000083e+00 8.952229999999999910e-01
1.027039999999999953e+00 8.953150080000000788e-01
1.031425999999999954e+00 8.953973699999999702e-01
1.035830000000000028e+00 8.954767640000000917e-01
1.040251999999999954e+00 8.955554160000001040e-01
1.044694000000000011e+00 8.956377779999999955e-01
1.049155000000000060e+00 8.957260760000000932e-01
1.053633999999999959e+00 8.958195680000000660e-01
1.058132999999999990e+00 8.959175120000000270e-01
1.062651000000000012e+00 8.960169399999999840e-01
1.067188999999999943e+00 8.961148840000000559e-01
1.071744999999999948e+00 8.962128280000001279e-01
1.076322000000000001e+00 8.963115140000000869e-01
1.080916999999999906e+00 8.964153940000000320e-01
1.085533000000000081e+00 8.965252100000000723e-01
1.090168000000000026e+00 8.966431880000000909e-01
1.094821999999999962e+00 8.967663599999999846e-01
1.099496999999999947e+00 8.968917580000000944e-01
1.104192000000000062e+00 8.962744139999999637e-01
1.108905999999999947e+00 8.955606099999999792e-01
1.113641000000000103e+00 8.948364180000000223e-01
1.118395999999999946e+00 8.941055479999999722e-01
1.123172000000000059e+00 8.933717100000001521e-01
1.127966999999999942e+00 8.926423239999999870e-01
1.132784000000000013e+00 8.919203580000000242e-01
1.137620000000000076e+00 8.912110060000001388e-01
1.142478000000000105e+00 8.905113000000001167e-01
1.147356000000000043e+00 8.898197560000000728e-01
1.152255000000000029e+00 8.891319220000000190e-01
1.157175000000000065e+00 8.884463140000000703e-01
1.162115999999999927e+00 8.877607060000000105e-01
1.167078000000000060e+00 8.870758400000000599e-01
1.172061000000000019e+00 8.863954260000000973e-01
1.177065999999999946e+00 8.857216900000000059e-01
1.182091000000000003e+00 8.850546320000001188e-01
1.187138999999999944e+00 8.843964780000000969e-01
1.192207999999999934e+00 8.837435180000000612e-01
1.197297999999999973e+00 8.830942680000000156e-01
1.202409999999999979e+00 8.819745900000000027e-01
1.207543999999999951e+00 8.803228980000000758e-01
1.212699999999999889e+00 8.786704640000000399e-01
1.217878000000000016e+00 8.770202560000001091e-01
1.223079000000000027e+00 8.753782100000001565e-01
1.228301000000000087e+00 8.737472940000000632e-01
1.233544999999999892e+00 8.721282500000000493e-01
1.238812000000000024e+00 8.705188520000000096e-01
1.244102000000000041e+00 8.689161320000000632e-01
1.249414000000000025e+00 8.673148960000000018e-01
1.254748999999999892e+00 8.657092079999999523e-01
1.260105999999999948e+00 8.640975840000000296e-01
1.265487000000000029e+00 8.624800240000001228e-01
1.270890000000000075e+00 8.608609800000001089e-01
1.276316999999999924e+00 8.592441619999999780e-01
1.281765999999999961e+00 8.576369900000000435e-01
1.287239000000000022e+00 8.560424319999999643e-01
1.292734999999999967e+00 8.544604880000000735e-01
1.298254999999999937e+00 8.528896739999999310e-01
1.303798999999999930e+00 8.506822240000000424e-01
1.309366000000000030e+00 8.481772320000000587e-01
1.314956000000000014e+00 8.456663039999999798e-01
1.320570999999999939e+00 8.431472140000000337e-01
1.326208999999999971e+00 8.406221879999999924e-01
1.331871999999999945e+00 8.380956780000000661e-01
1.337558999999999942e+00 8.355743620000001259e-01
1.343269999999999964e+00 8.330626920000001601e-01
1.349005999999999927e+00 8.305636360000000495e-01
1.354765999999999915e+00 8.280771940000001274e-01
1.360549999999999926e+00 8.256003980000000686e-01
1.366360000000000019e+00 8.231295379999999939e-01
1.372193999999999914e+00 8.206609040000000244e-01
1.378052999999999972e+00 8.181922700000000548e-01
1.383936999999999973e+00 8.157236359999999742e-01
1.389845999999999915e+00 8.132594540000001038e-01
1.395780000000000021e+00 8.108034340000001006e-01
1.401739999999999986e+00 8.081389119999999870e-01
1.407724999999999893e+00 8.049542480000000388e-01
1.413736000000000104e+00 8.017821980000000570e-01
1.419772000000000034e+00 7.986183100000000534e-01
1.425834000000000046e+00 7.954581320000000400e-01
1.431921999999999917e+00 7.922927600000000403e-01
1.438037000000000010e+00 7.891184839999999534e-01
1.444177000000000044e+00 7.859330780000001182e-01
1.450342999999999938e+00 7.827417359999999658e-01
1.456536000000000053e+00 7.795503940000000354e-01
1.462755000000000027e+00 7.763694399999999662e-01
1.469001000000000001e+00 7.732085199999999547e-01
1.475273000000000057e+00 7.700757959999999791e-01
1.481571999999999889e+00 7.669720100000000373e-01
1.487897999999999943e+00 7.638941940000001374e-01
1.494250999999999996e+00 7.608327020000000829e-01
1.500631000000000048e+00 7.577237220000000439e-01
1.507039000000000017e+00 7.541406040000000477e-01
1.513473999999999986e+00 7.505359679999999978e-01
1.519935999999999954e+00 7.469038780000000211e-01
1.526426000000000061e+00 7.432428500000000104e-01
1.532942999999999945e+00 7.395588942000000943e-01
1.539489000000000107e+00 7.358616566000000248e-01
1.546062000000000047e+00 7.321647158000000877e-01
1.552662999999999904e+00 7.284829118000000214e-01
1.559293000000000040e+00 7.248296748000000456e-01
1.565951000000000093e+00 7.212148734000000116e-01
1.572637000000000063e+00 7.176444436000000149e-01
1.579352000000000089e+00 7.141202403999999948e-01
1.586095999999999950e+00 7.106407056000000333e-01
1.592867999999999951e+00 7.072011646000000429e-01
1.599669000000000008e+00 7.037941974000000434e-01
1.606498999999999899e+00 7.000182336000000394e-01
1.613358999999999988e+00 6.962360370000000298e-01
1.620247999999999911e+00 6.924566600000000571e-01
1.627165999999999890e+00 6.886709760000000458e-01
1.634114000000000066e+00 6.848714907999999824e-01
1.641091000000000077e+00 6.810524909999999821e-01
1.648098000000000063e+00 6.772112312000000411e-01
1.655135000000000023e+00 6.733509762000000620e-01
1.662201999999999957e+00 6.694824108000000384e-01
1.669300000000000006e+00 6.656228236000000242e-01
1.676426999999999889e+00 6.617918033999999894e-01
1.683585000000000109e+00 6.580068613999999760e-01
1.690773999999999999e+00 6.542803890000000733e-01
1.697993000000000086e+00 6.506172834000000238e-01
1.705243000000000064e+00 6.467659324000000209e-01
1.712523999999999935e+00 6.428684290000000745e-01
1.719835999999999920e+00 6.390009023999999593e-01
1.727179999999999938e+00 6.351409442000000016e-01
1.734555000000000069e+00 6.312676299999999685e-01
1.741961000000000093e+00 6.273662682000000768e-01
1.749398999999999926e+00 6.234318873999999955e-01
1.756868000000000096e+00 6.194693105999999894e-01
1.764369999999999994e+00 6.154924873999999546e-01
1.771903000000000006e+00 6.115230099999999780e-01
1.779468999999999967e+00 6.075857354000000488e-01
1.787066999999999961e+00 6.037051495999999906e-01
1.794696999999999987e+00 5.998992090000000443e-01
1.802361000000000102e+00 5.961550770000000332e-01
1.810056000000000109e+00 5.924376570000000619e-01
1.817784999999999984e+00 5.887545915999999879e-01
1.825545999999999891e+00 5.850773880000000871e-01
1.833341000000000109e+00 5.813820796000001012e-01
1.841169000000000056e+00 5.776492260000000156e-01
1.849031000000000091e+00 5.738682908000000138e-01
1.856926000000000077e+00 5.700417968000000002e-01
1.864854000000000012e+00 5.661824321999999743e-01
1.872816999999999954e+00 5.623092664000000074e-01
1.880813999999999986e+00 5.584497534000000263e-01
1.888843999999999967e+00 5.546413641999999866e-01
1.896908999999999956e+00 5.509234248000001166e-01
1.905008999999999952e+00 5.469805110000000026e-01
1.913143000000000038e+00 5.429484088000000597e-01
1.921311999999999909e+00 5.390238966000000520e-01
1.929515000000000091e+00 5.351887953999999725e-01
1.937753999999999976e+00 5.314207710000000695e-01
1.946028000000000091e+00 5.276852462000000132e-01
1.954336999999999991e+00 5.239339168000000102e-01
1.962682000000000038e+00 5.201207046000000389e-01
1.971062000000000092e+00 5.162243142000000340e-01
1.979478000000000071e+00 5.122469715999999895e-01
1.987929999999999975e+00 5.081911996000000320e-01
1.996418000000000026e+00 5.040518042000000642e-01
2.004941999999999780e+00 4.994049550000000393e-01
2.013503000000000043e+00 4.944215346000000455e-01
2.022101000000000148e+00 4.894714299999999851e-01
2.030734999999999957e+00 4.845849890000000770e-01
2.039404999999999912e+00 4.797861039999999910e-01
2.048112999999999850e+00 4.750996320000000495e-01
2.056858000000000075e+00 4.705284668000000448e-01
2.065640999999999838e+00 4.660400346000000416e-01
2.074460999999999888e+00 4.615975322000000491e-01
2.083317999999999781e+00 4.571946526000000288e-01
2.092213999999999796e+00 4.528299860000000177e-01
2.101147000000000098e+00 4.484605706000000525e-01
2.110117999999999938e+00 4.440247462000000422e-01
2.119127999999999901e+00 4.395120506000000371e-01
2.128176999999999985e+00 4.349744238000000096e-01
2.137264000000000053e+00 4.304574988000000046e-01
2.146389000000000102e+00 4.259484390000000120e-01
2.155553999999999970e+00 4.214073990000000158e-01
2.164757999999999960e+00 4.168477348000000360e-01
2.174001000000000072e+00 4.123532924000000710e-01
2.183282999999999863e+00 4.079745278000000419e-01
2.192606000000000055e+00 4.036572008000000045e-01
2.201967999999999925e+00 3.992342872000000376e-01
2.211370000000000058e+00 3.944835580000000119e-01
